strike,delta,vega,rho,theta
70.0,0.9835529964313139,4.098364522064912,64.81520139580255,-3.650596456949984
71.53846153846153,0.978549610595536,5.137557450964891,65.73410125575663,-3.800460770904124
73.07692307692308,0.9724627297899247,6.336443576344664,66.5327564726681,-3.9602821775019947
74.61538461538461,0.9651701638084376,7.696154163880919,67.19678822442177,-4.129454860759552
76.15384615384616,0.956558384617523,9.213175925850692,67.71252914944625,-4.30694412202115
77.6923076923077,0.9465266016363216,10.8791408805331,68.06746188523505,-4.4912872927938
79.23076923076923,0.9349905345501952,12.680840317642605,68.25063270859744,-4.680615813938971
80.76923076923077,0.9218857021238591,14.600462116263202,68.2530208388954,-4.872697432460882
82.3076923076923,0.9071700771720259,16.61603624896202,68.06784696721024,-5.064996178347769
83.84615384615384,0.8908259971342147,18.702060966546696,67.69080840925312,-5.25474674155646
85.38461538461539,0.8728612634008925,20.830272653924453,67.1202326736875,-5.439039135097801
86.92307692307692,0.8533094068774005,22.970516154501297,66.35714574045437,-5.614909142153124
88.46153846153847,0.8322291394833314,25.09166955533715,65.40525572866329,-5.779429977508244
90.0,0.8097030485892276,27.162577831063572,64.27085655751341,-5.929800835389187
91.53846153846155,0.7858356221269958,29.152952936186693,62.96265951782232,-6.063428476714705
93.07692307692308,0.7607507150762416,31.03420332767115,61.49156322482696,-6.177998679604002
94.61538461538461,0.7345885829582954,32.78016285577223,59.870374168902174,-6.2715351551290155
96.15384615384616,0.7075026148875452,34.367696800750025,58.11349101485064,-6.342444365898814
97.6923076923077,0.6796558984429879,35.77717093552479,56.23656600189264,-6.389545502827332
99.23076923076923,0.6512177420827214,36.992777340110194,54.25615632770331,-6.412085635432163
100.76923076923077,0.622360269324318,38.00271782534281,52.18937741179985,-6.409740716826207
102.3076923076923,0.5932551837940281,38.79925196262235,50.05356853732934,-6.382603669550235
103.84615384615384,0.5640707866660932,39.37862165340533,47.86597970230844,-6.331161183936729
105.38461538461539,0.5349693095240582,39.740867827511295,45.64348669990892,-6.256261143384734
106.92307692307693,0.5061046069730679,39.88955726232035,43.40233960125062,-6.159072729055026
108.46153846153847,0.477620235577092,39.83143872005712,41.15794801982986,-6.0410412978839645
110.0,0.4496479294264333,39.57604777124146,38.92470487773636,-5.903840052425835
111.53846153846155,0.42230646838987695,39.13527896614255,36.71584891382196,-5.749320384111911
113.07692307692308,0.3957009231509545,38.52294262156164,34.5433649111726,-5.579462563041204
114.61538461538461,0.3699222515606948,37.75432159432768,32.417919592440114,-5.39632821013214
116.15384615384616,0.345047213711247,36.845741194806436,30.348830336865973,-5.202015724403708
117.6923076923077,0.32113856824924625,35.81416301438267,28.344063305283385,-4.998619572305074
119.23076923076923,0.2982455096425696,34.676811028990784,26.410257204734222,-4.788194085776354
120.76923076923077,0.27640430512168024,33.450836014701224,24.55276874616885,-4.572722177318411
122.30769230769232,0.2556390905489536,32.15302215510363,22.77573584199999,-4.354089159974706
123.84615384615384,0.235962786204702,30.79953778360789,21.08215470068231,-4.134061677145695
125.38461538461539,0.2173780962307248,29.405730536922192,19.473967198564424,-3.9142715858808685
126.92307692307693,0.19987855876628657,27.985965805630286,17.952155199996156,-3.696204518082169
128.46153846153845,0.1834496176673639,26.55350626060482,16.516838842619563,-3.4811927473832327
130.0,0.16806969068481337,25.1204294003049,15.167376178162328,-3.2704119263815556
